or you.
  import pynvml
Biblioteca pynvml encontrada, mas não foi possível inicializar.
[INFO] [1761680771.515413768] [performance_monitor_node]: 🚀 Monitor de performance iniciado. Hardware: cpu_only.
[INFO] [1761680771.516114410] [performance_monitor_node]: Coletando dados... Pressione Ctrl+C para parar e gerar o relatório.
[INFO] [1761680772.490012655] [performance_monitor_node]: CPU: 40.9%, RAM: 1165 MB
[INFO] [1761680773.489939194] [performance_monitor_node]: CPU: 35.3%, RAM: 1177 MB
[INFO] [1761680774.489913893] [performance_monitor_node]: CPU: 29.0%, RAM: 1179 MB
[INFO] [1761680775.489876651] [performance_monitor_node]: CPU: 36.5%, RAM: 1184 MB
[INFO] [1761680776.489888189] [performance_monitor_node]: CPU: 31.2%, RAM: 1188 MB
[INFO] [1761680777.489910446] [performance_monitor_node]: CPU: 30.4%, RAM: 1188 MB
[INFO] [1761680778.490138609] [performance_monitor_node]: CPU: 20.8%, RAM: 1187 MB
[INFO] [1761680779.489928835] [performance_monitor_node]: CPU: 29.8%, RAM: 1188 MB
[INFO] [1761680780.489968900] [performance_monitor_node]: CPU: 30.0%, RAM: 1187 MB
[INFO] [1761680781.489965618] [performance_monitor_node]: CPU: 20.8%, RAM: 1187 MB
[INFO] [1761680782.489931593] [performance_monitor_node]: CPU: 29.5%, RAM: 1186 MB
[INFO] [1761680783.489931685] [performance_monitor_node]: CPU: 21.2%, RAM: 1189 MB
[INFO] [1761680784.490305155] [performance_monitor_node]: CPU: 23.5%, RAM: 1190 MB
[INFO] [1761680785.490070853] [performance_monitor_node]: CPU: 29.6%, RAM: 1191 MB
[INFO] [1761680786.489992455] [performance_monitor_node]: CPU: 32.4%, RAM: 1186 MB
[INFO] [1761680787.490034001] [performance_monitor_node]: CPU: 24.3%, RAM: 1189 MB
[INFO] [1761680788.491339343] [performance_monitor_node]: CPU: 31.1%, RAM: 1193 MB
[INFO] [1761680789.490970403] [performance_monitor_node]: CPU: 32.6%, RAM: 1188 MB
[INFO] [1761680790.490184128] [performance_monitor_node]: CPU: 28.8%, RAM: 1177 MB
[INFO] [1761680791.491148132] [performance_monitor_node]: CPU: 32.7%, RAM: 1181 MB
[INFO] [1761680792.491754269] [performance_monitor_node]: CPU: 30.4%, RAM: 1190 MB
[INFO] [1761680793.490109162] [performance_monitor_node]: CPU: 36.8%, RAM: 1193 MB
[INFO] [1761680794.494764702] [performance_monitor_node]: CPU: 26.9%, RAM: 1187 MB
[INFO] [1761680795.492977197] [performance_monitor_node]: CPU: 32.9%, RAM: 1194 MB
[INFO] [1761680796.492349587] [performance_monitor_node]: CPU: 33.7%, RAM: 1201 MB
[INFO] [1761680797.492106351] [performance_monitor_node]: CPU: 28.2%, RAM: 1200 MB
[INFO] [1761680798.491884796] [performance_monitor_node]: CPU: 34.1%, RAM: 1202 MB
[INFO] [1761680799.493113003] [performance_monitor_node]: CPU: 25.7%, RAM: 1202 MB
[INFO] [1761680800.492337268] [performance_monitor_node]: CPU: 27.6%, RAM: 1199 MB
[INFO] [1761680801.489977508] [performance_monitor_node]: CPU: 33.6%, RAM: 1198 MB
[INFO] [1761680802.489944832] [performance_monitor_node]: CPU: 35.1%, RAM: 1200 MB
[INFO] [1761680803.489966747] [performance_monitor_node]: CPU: 26.8%, RAM: 1192 MB
[INFO] [1761680804.489963894] [performance_monitor_node]: CPU: 30.7%, RAM: 1192 MB
[INFO] [1761680805.489951399] [performance_monitor_node]: CPU: 28.0%, RAM: 1189 MB
[INFO] [1761680806.489930238] [performance_monitor_node]: CPU: 21.2%, RAM: 1190 MB
[INFO] [1761680807.493131571] [performance_monitor_node]: CPU: 23.4%, RAM: 1190 MB
[INFO] [1761680808.490007931] [performance_monitor_node]: CPU: 28.0%, RAM: 1184 MB
[INFO] [1761680809.490122533] [performance_monitor_node]: CPU: 27.4%, RAM: 1188 MB
[INFO] [1761680810.490054736] [performance_monitor_node]: CPU: 27.5%, RAM: 1179 MB
[INFO] [1761680811.491366651] [performance_monitor_node]: CPU: 29.5%, RAM: 1176 MB
[INFO] [1761680812.490140949] [performance_monitor_node]: CPU: 25.7%, RAM: 1180 MB
[INFO] [1761680813.490035031] [performance_monitor_node]: CPU: 29.9%, RAM: 1185 MB
[INFO] [1761680814.489938742] [performance_monitor_node]: CPU: 31.9%, RAM: 1175 MB
[INFO] [1761680815.489926833] [performance_monitor_node]: CPU: 24.5%, RAM: 1179 MB
[INFO] [1761680816.490214207] [performance_monitor_node]: CPU: 25.5%, RAM: 1178 MB
[INFO] [1761680817.489904915] [performance_monitor_node]: CPU: 33.8%, RAM: 1178 MB
[INFO] [1761680818.490291354] [performance_monitor_node]: CPU: 26.4%, RAM: 1192 MB
[INFO] [1761680819.489902272] [performance_monitor_node]: CPU: 26.9%, RAM: 1188 MB
[INFO] [1761680820.489923195] [performance_monitor_node]: CPU: 27.6%, RAM: 1190 MB
[INFO] [1761680821.491670257] [performance_monitor_node]: CPU: 33.8%, RAM: 1186 MB
[INFO] [1761680822.491349066] [performance_monitor_node]: CPU: 40.9%, RAM: 1192 MB
[INFO] [1761680823.491334772] [performance_monitor_node]: CPU: 23.0%, RAM: 1200 MB
[INFO] [1761680824.500546935] [performance_monitor_node]: CPU: 28.8%, RAM: 1200 MB
[INFO] [1761680825.492444162] [performance_monitor_node]: CPU: 35.0%, RAM: 1200 MB
[INFO] [1761680826.491451168] [performance_monitor_node]: CPU: 35.7%, RAM: 1185 MB
[INFO] [1761680827.491214216] [performance_monitor_node]: CPU: 37.1%, RAM: 1195 MB
[INFO] [1761680828.491891127] [performance_monitor_node]: CPU: 28.2%, RAM: 1196 MB
[INFO] [1761680829.491419015] [performance_monitor_node]: CPU: 35.6%, RAM: 1199 MB
[INFO] [1761680830.492573545] [performance_monitor_node]: CPU: 34.4%, RAM: 1200 MB
[INFO] [1761680831.489947924] [performance_monitor_node]: CPU: 35.1%, RAM: 1202 MB
[INFO] [1761680832.490163026] [performance_monitor_node]: CPU: 34.7%, RAM: 1197 MB
[INFO] [1761680833.489940155] [performance_monitor_node]: CPU: 32.6%, RAM: 1195 MB
[INFO] [1761680834.489909729] [performance_monitor_node]: CPU: 28.6%, RAM: 1196 MB
[INFO] [1761680835.489927327] [performance_monitor_node]: CPU: 21.8%, RAM: 1197 MB
[INFO] [1761680836.490087140] [performance_monitor_node]: CPU: 34.1%, RAM: 1205 MB
[INFO] [1761680837.489916445] [performance_monitor_node]: CPU: 20.4%, RAM: 1207 MB
[INFO] [1761680838.489914012] [performance_monitor_node]: CPU: 25.9%, RAM: 1216 MB
[INFO] [1761680839.489967956] [performance_monitor_node]: CPU: 37.9%, RAM: 1203 MB
[INFO] [1761680840.490010039] [performance_monitor_node]: CPU: 22.6%, RAM: 1198 MB
[INFO] [1761680841.490006191] [performance_monitor_node]: CPU: 28.1%, RAM: 1206 MB
[INFO] [1761680842.489947824] [performance_monitor_node]: CPU: 35.0%, RAM: 1210 MB
[INFO] [1761680843.490211112] [performance_monitor_node]: CPU: 23.0%, RAM: 1207 MB
[INFO] [1761680844.489994959] [performance_monitor_node]: CPU: 24.3%, RAM: 1207 MB
[INFO] [1761680845.489982486] [performance_monitor_node]: CPU: 27.7%, RAM: 1207 MB
[INFO] [1761680846.489938139] [performance_monitor_node]: CPU: 31.4%, RAM: 1209 MB
[INFO] [1761680847.489916793] [performance_monitor_node]: CPU: 25.3%, RAM: 1211 MB
[INFO] [1761680848.489918877] [performance_monitor_node]: CPU: 28.2%, RAM: 1218 MB
[INFO] [1761680849.490013524] [performance_monitor_node]: CPU: 36.3%, RAM: 1223 MB
[INFO] [1761680850.489900847] [performance_monitor_node]: CPU: 31.7%, RAM: 1219 MB
[INFO] [1761680851.489887295] [performance_monitor_node]: CPU: 25.3%, RAM: 1218 MB
[INFO] [1761680852.495145637] [performance_monitor_node]: CPU: 22.8%, RAM: 1218 MB
[INFO] [1761680853.490269433] [performance_monitor_node]: CPU: 31.4%, RAM: 1225 MB
[INFO] [1761680854.492775849] [performance_monitor_node]: CPU: 29.0%, RAM: 1225 MB
[INFO] [1761680855.490494567] [performance_monitor_node]: CPU: 27.6%, RAM: 1225 MB
[INFO] [1761680856.491259744] [performance_monitor_node]: CPU: 33.4%, RAM: 1216 MB
[INFO] [1761680857.494911677] [performance_monitor_node]: CPU: 28.3%, RAM: 1219 MB
[INFO] [1761680858.495637417] [performance_monitor_node]: CPU: 37.9%, RAM: 1206 MB
[INFO] [1761680859.492091104] [performance_monitor_node]: CPU: 30.5%, RAM: 1214 MB
[INFO] [1761680860.492337617] [performance_monitor_node]: CPU: 31.4%, RAM: 1214 MB
[INFO] [1761680861.489925557] [performance_monitor_node]: CPU: 30.9%, RAM: 1213 MB
[INFO] [1761680862.489960615] [performance_monitor_node]: CPU: 32.7%, RAM: 1212 MB
[INFO] [1761680863.489929512] [performance_monitor_node]: CPU: 34.1%, RAM: 1214 MB
[INFO] [1761680864.489939030] [performance_monitor_node]: CPU: 27.2%, RAM: 1206 MB
[INFO] [1761680865.489922504] [performance_monitor_node]: CPU: 36.5%, RAM: 1213 MB
[INFO] [1761680866.490154512] [performance_monitor_node]: CPU: 34.3%, RAM: 1215 MB
[INFO] [1761680867.489933366] [performance_monitor_node]: CPU: 40.7%, RAM: 1215 MB
[INFO] [1761680868.493275002] [performance_monitor_node]: CPU: 34.7%, RAM: 1207 MB
[INFO] [1761680869.489938981] [performance_monitor_node]: CPU: 29.4%, RAM: 1204 MB
[INFO] [1761680870.489929745] [performance_monitor_node]: CPU: 32.8%, RAM: 1204 MB
[INFO] [1761680871.489893494] [performance_monitor_node]: CPU: 21.3%, RAM: 1203 MB
[INFO] [1761680872.490033638] [performance_monitor_node]: CPU: 32.4%, RAM: 1209 MB
[INFO] [1761680873.489949770] [performance_monitor_node]: CPU: 24.1%, RAM: 1212 MB
[INFO] [1761680874.490473562] [performance_monitor_node]: CPU: 26.3%, RAM: 1208 MB
[INFO] [1761680875.490021136] [performance_monitor_node]: CPU: 30.8%, RAM: 1219 MB
[INFO] [1761680876.490014835] [performance_monitor_node]: CPU: 30.8%, RAM: 1227 MB
[INFO] [1761680877.490198844] [performance_monitor_node]: CPU: 25.5%, RAM: 1228 MB
[INFO] [1761680878.490130792] [performance_monitor_node]: CPU: 31.1%, RAM: 1235 MB
[INFO] [1761680879.490045959] [performance_monitor_node]: CPU: 28.9%, RAM: 1237 MB
[INFO] [1761680880.494776971] [performance_monitor_node]: CPU: 30.3%, RAM: 1233 MB
[INFO] [1761680881.489916845] [performance_monitor_node]: CPU: 28.5%, RAM: 1229 MB
[INFO] [1761680882.492485861] [performance_monitor_node]: CPU: 24.5%, RAM: 1228 MB
[INFO] [1761680883.489975456] [performance_monitor_node]: CPU: 30.1%, RAM: 1231 MB
[INFO] [1761680884.491483099] [performance_monitor_node]: CPU: 23.9%, RAM: 1234 MB
[INFO] [1761680885.491546404] [performance_monitor_node]: CPU: 24.0%, RAM: 1233 MB
[INFO] [1761680886.494199340] [performance_monitor_node]: CPU: 25.4%, RAM: 1231 MB
[INFO] [1761680887.492494033] [performance_monitor_node]: CPU: 32.1%, RAM: 1229 MB
[INFO] [1761680888.492976821] [performance_monitor_node]: CPU: 25.6%, RAM: 1229 MB
[INFO] [1761680889.491358288] [performance_monitor_node]: CPU: 26.1%, RAM: 1229 MB
[INFO] [1761680890.493093322] [performance_monitor_node]: CPU: 31.8%, RAM: 1226 MB
[INFO] [1761680891.492320351] [performance_monitor_node]: CPU: 29.6%, RAM: 1226 MB
[INFO] [1761680892.490209233] [performance_monitor_node]: CPU: 32.8%, RAM: 1229 MB
[INFO] [1761680893.489970231] [performance_monitor_node]: CPU: 33.7%, RAM: 1231 MB
[INFO] [1761680894.490056910] [performance_monitor_node]: CPU: 33.3%, RAM: 1226 MB
[INFO] [1761680895.489906297] [performance_monitor_node]: CPU: 28.4%, RAM: 1223 MB
[INFO] [1761680896.489921968] [performance_monitor_node]: CPU: 26.4%, RAM: 1223 MB
[INFO] [1761680897.489936429] [performance_monitor_node]: CPU: 33.3%, RAM: 1229 MB
[INFO] [1761680898.489928936] [performance_monitor_node]: CPU: 33.3%, RAM: 1239 MB
[INFO] [1761680899.489908588] [performance_monitor_node]: CPU: 25.8%, RAM: 1246 MB
[INFO] [1761680900.489978005] [performance_monitor_node]: CPU: 38.8%, RAM: 1246 MB
[INFO] [1761680901.489925872] [performance_monitor_node]: CPU: 33.4%, RAM: 1246 MB
[INFO] [1761680902.489928388] [performance_monitor_node]: CPU: 26.6%, RAM: 1238 MB
[INFO] [1761680903.489902220] [performance_monitor_node]: CPU: 34.6%, RAM: 1244 MB
[INFO] [1761680904.489942861] [performance_monitor_node]: CPU: 26.4%, RAM: 1244 MB
[INFO] [1761680905.489991054] [performance_monitor_node]: CPU: 28.0%, RAM: 1241 MB
[INFO] [1761680906.489904339] [performance_monitor_node]: CPU: 25.5%, RAM: 1243 MB
[INFO] [1761680907.494882588] [performance_monitor_node]: CPU: 24.7%, RAM: 1243 MB
[INFO] [1761680908.490238641] [performance_monitor_node]: CPU: 30.8%, RAM: 1252 MB
[INFO] [1761680909.494881873] [performance_monitor_node]: CPU: 30.1%, RAM: 1245 MB
[INFO] [1761680910.490184715] [performance_monitor_node]: CPU: 36.8%, RAM: 1247 MB
[INFO] [1761680911.490507555] [performance_monitor_node]: CPU: 33.6%, RAM: 1252 MB
[INFO] [1761680912.493007440] [performance_monitor_node]: CPU: 24.5%, RAM: 1254 MB
[INFO] [1761680913.491686716] [performance_monitor_node]: CPU: 35.2%, RAM: 1251 MB
[INFO] [1761680914.490516007] [performance_monitor_node]: CPU: 35.3%, RAM: 1253 MB
[INFO] [1761680915.491088510] [performance_monitor_node]: CPU: 27.7%, RAM: 1254 MB
[INFO] [1761680916.492281736] [performance_monitor_node]: CPU: 30.0%, RAM: 1255 MB
[INFO] [1761680917.491638508] [performance_monitor_node]: CPU: 33.4%, RAM: 1257 MB
